id,levelId,moduleId,title,type,duration,order,locked,videoUrl,thumbnailUrl,content,resources
l1,inicial-1,mod-i1-1,¡Hola! Bienvenidos al curso,video,5 min,1,false,,,Introducción al curso de tecnología para niños,
l2,inicial-1,mod-i1-1,¿Qué es un robot?,video,8 min,2,false,,Explicación sencilla de qué son los robots
l3,inicial-1,mod-i1-1,Robots en nuestra vida,activity,15 min,3,false,,Identificar robots en casa y la escuela
l4,inicial-1,mod-i1-1,Colores de la tecnología,activity,10 min,4,true,,Aprender los colores de los componentes
l5,inicial-1,mod-i1-2,Abriendo mi kit (Unboxing),video,10 min,5,true,,Video de unboxing del kit
l6,inicial-1,mod-i1-2,Los LEDs: Luces mágicas,video,8 min,6,true,,Conociendo los LEDs de colores
l7,inicial-1,mod-i1-2,Cables y conexiones,tutorial,15 min,7,true,,Cómo conectar cables de forma segura
l8,inicial-1,mod-i1-2,La pila: Energía para todo,video,8 min,8,true,,Entendiendo la fuente de energía
l9,inicial-1,mod-i1-3,¿Qué es un circuito?,video,10 min,9,true,,Concepto básico de circuito eléctrico
l10,inicial-1,mod-i1-3,Conectando el LED,tutorial,20 min,10,true,,Paso a paso para conectar un LED
l11,inicial-1,mod-i1-3,¡Mi LED enciende!,project,25 min,11,true,,Proyecto de encender el primer LED
l12,inicial-1,mod-i1-4,Proyecto: Luz Mágica,project,30 min,12,true,,Crear una luz que cambia de color
l13,inicial-1,mod-i1-4,Proyecto: Semáforo de Colores,project,45 min,13,true,,Construir un semáforo con LEDs
l14,inicial-1,mod-i1-4,Proyecto: Tarjeta Luminosa,project,40 min,14,true,,Tarjeta de cumpleaños con LED
l15,inicial-1,mod-i1-4,Proyecto: Árbol de Navidad,project,50 min,15,true,,Decoración navideña con LEDs
l16,inicial-1,mod-i1-4,Proyecto: Robot Amigo,project,60 min,16,true,,Crear un robot simple con luces
l17,inicial-1,mod-i1-5,¿Qué es la IA?,video,8 min,17,true,,Introducción a inteligencia artificial
l18,inicial-1,mod-i1-5,Jugando con colores (IA),activity,15 min,18,true,,Usar IA para reconocer colores
l19,inicial-2,mod-i2-1,Bienvenidos de vuelta,video,5 min,1,false,,Inicio del segundo año
l20,inicial-2,mod-i2-1,Repaso: ¿Qué es un circuito?,video,8 min,2,false,,Recordando conceptos del año anterior
l21,inicial-2,mod-i2-1,Mis logros del año pasado,activity,10 min,3,false,,Reflexión sobre lo aprendido
l22,inicial-2,mod-i2-2,Unboxing Kit Inicial 2,video,12 min,4,true,,Conociendo el nuevo kit
l23,inicial-2,mod-i2-2,El generador eólico,video,10 min,5,true,,Introducción a energía eólica
l24,inicial-2,mod-i2-2,Cinta de cobre conductora,tutorial,15 min,6,true,,Cómo usar la cinta conductora
l25,inicial-2,mod-i2-2,Nuevos LEDs y componentes,video,10 min,7,true,,Conociendo nuevos componentes
l26,inicial-2,mod-i2-3,¿Qué es la energía eólica?,video,10 min,8,true,,Explicación de energía del viento
l27,inicial-2,mod-i2-3,Armando el generador,tutorial,25 min,9,true,,Paso a paso del generador
l28,inicial-2,mod-i2-3,¡Mi generador funciona!,project,30 min,10,true,,Proyecto de generador eólico
l29,inicial-2,mod-i2-4,La cinta mágica conductora,video,8 min,11,true,,Propiedades de la cinta de cobre
l30,inicial-2,mod-i2-4,Dibujando circuitos,tutorial,20 min,12,true,,Crear circuitos con cinta
l31,inicial-2,mod-i2-4,Tarjeta con circuito,project,35 min,13,true,,Proyecto de tarjeta interactiva
l32,inicial-2,mod-i2-5,Proyecto: Casa iluminada,project,45 min,14,true,,Maqueta de casa con LEDs
l33,inicial-2,mod-i2-5,Proyecto: Molino de viento,project,50 min,15,true,,Molino funcional con generador
l34,inicial-2,mod-i2-5,Proyecto: Libro interactivo,project,60 min,16,true,,Libro con luces y circuitos
l35,inicial-2,mod-i2-6,La IA reconoce colores,activity,15 min,17,true,,Usar cámara para detectar colores
l36,inicial-2,mod-i2-6,Clasificando objetos,activity,15 min,18,true,,IA clasifica objetos cotidianos
l37,inicial-2,mod-i2-6,Comandos de voz,activity,20 min,19,true,,Controlar con la voz
l38,inicial-2,mod-i2-6,Mi asistente robot,project,25 min,20,true,,Crear asistente simple
